19500	7868,11080,11176,14261
29750	241,11196,12220,14020,16550,21110
38250	4949,11176
64000	7868,11080,12394,21110
65500	7868,29099
69500	18196
82250	11080
139000	679
140500	3627
145750	3228,11196,11679
154500	2683,3627,4949,7868,8689,11080,11176,12168,12220,21110,26722
154750	2257,3228,7105,11196,11679,12220,16406
200250	3627,6672,12352
203750	25372
232000	7868,11080,21865
239250	7868,21110
267250	679,2367,7105,7868,11196,11679
282500	2683,12055
299750	2683,3228,4949,7868,11080,11196,12220,14261,21110,26722
317500	4949,7868,11080,11176,18805
341000	679,2257,2683,7868,11080,12168,26722,26754
364250	11196,11679
371250	2683,12220,21110
382250	2257,7868,11052,11080,11767,12168,21110,22393,26722
393250	2257,3627,4949,7868,11176,11196
415500	554,3627,7868,8689
417250	3627
418500	15138
434750	3228
439000	7868,11080,16821,25415
472000	25333
528250	11196,12977
563500	2683,7868,11080
567250	7868,11080,26722,27791
573000	7868
591750	12220
599750	7868,20297
620500	7868
621500	2683,7868,12168,21110,29099
691500	7868,27791
711500	2257,11052,11080,11767,12168,25260,26722
725000	1831,2257,7868,8027,11196,21110,25372,26722
731750	3228,7105,11196,11679
745750	3228,7868,11196,29099
746000	7868,21865
764750	7868
776750	2257,3228,7868,11176,11196,16110,26722
791500	3627,10329,24831
799000	7868,26722,27791,29099
805750	7868
832250	1831,11196,27791
835000	7868
848500	7868,9838,11196,14261,16406
854250	7868
861250	21110,25372
861750	23284,27791
887500	11080
887750	15019
892500	3627,7868
969750	2963,14020
980000	3228,11196,29099
981000	3627,4949,7868,8662,8689,11176,11196,11679,12220,12394,14020,18730,26722
984500	679,7868,11080,18730,26722,27791
1046250	2257,7868,26722,27791
1047000	2683,21110
1063000	15019
1074750	679,2257,2683,7868,11080,11196,12220,14580,26722,27092
1086750	4949,7868,11080,21865,22727
1104500	2257,2683,3228,7868,11080,11196,12168,12220,12394,14294,21110,22393,26722
1118250	11176
1140750	7868,14261
1181250	6672,7868,8689,21110
1189000	3627,4949,7868,11176
1194750	679,7868
1206500	7868
1240250	8689,11176,12220,12394,20297,21110
1247000	7868
1324500	7868,11080
1365000	679,11080,14580
1381000	2257,7868,12220,14261,21110,29099
1446250	7868,11196,20297
1449250	14261,16110
1459750	12220,16550,21110
1492500	679,2257,3627,4949,7868,8689,11080,11176,11196,11679,12352,14261,16110
1525000	2257,3228,7105,7868,11196,11679,12220,16406
1528500	3627
1531250	7868,11176,21110
1561250	679,2257,3627,4949,7868,8689,11080,11176,11196,12168,12220,12352,14261,26722
1579250	4078
1617250	2217
1622500	679,2257,7868,11080,11176,11196,14020,26722
1627000	7868
1629250	7868,12220,18024
1661750	679,3228,7868,11080,14020,14261,26722
1688750	241,11196,12220,14020,16550,21110
1710500	679,3228,4949,7868,8689,11080,11176,11196,12352,14261
1724000	3228,7868,11080,12168,29099
1724250	3228,7868,11196
1727500	3228,4452
1758250	27791
1782250	155,21110
1792000	11176
1793250	14020,22393
1812000	2257,3228,4949,7105,7868,11176,11196,11679,12220,12977,16110,16406
1832000	7868
1838750	16818,21110
1855750	7105,7868,11196,14261
1904750	23928
1906000	2683,11080,12168,12220,21110
1909250	504
1911500	1047,2257,3228,3627,8689,11176,11196,14261,16110,16406,18730
1934750	7868,11080,11196,11679,21110
1953250	2257,2683,3627,3658,11176,12220,12352,12394,14020,26722
1966250	2257,3228,3627,4949,7868,8027,11052,11080,11176,11196,11767,12168,12977,16110,18730,25260,26722
1969000	241,11196,12220,14020,16550,21110
1971500	11000,25329
1985250	2683,7868,11196,12168,12220,21110
2006000	25372
2033500	2257,3627,4949,7868,8689,11176,12220,12352,16110,21110
2050000	27791
2076000	7868
2078000	679,7868,11080,14261,27791
2088000	7868,15019,21110
2103250	1831,11176,11196,12394
2138750	7868
2148250	14294,21110
2168250	4949,7868,8689,11080,21865,22727
2182750	2257,26722
2198750	12220,12394,16550,21110
2200750	2655,14020
2232500	679,7868,11080,11196,14261
2251750	7868,22727
2253250	679,2257,3228,4949,7105,7868,11080,11176,11196,11679,12220,12977,14261,16110,18730,26722
2316250	679
2322750	15138
2331750	7868,8689
2364500	7868,21865
2378500	3228,25372
2476250	21110
2480750	20979,21110
2492500	20979
2557000	7868
2626250	4949,7868,11176
2688750	7868,14261
2704750	3658
2737250	3228,11196
