index,user_id,brand_id
0,19500,11
1,29750,15
2,38250,18
3,39750,19
4,42000,20
5,47000,22
6,64000,23
7,65500,26
8,69500,27
9,71250,29
10,82250,33
11,83250,38
12,139000,39
13,140500,43
14,145750,45
15,154500,53
16,154750,57
17,190500,58
18,200250,62
19,203750,72
20,232000,83
21,236000,90
22,239250,91
23,252500,103
24,266500,104
25,267250,111
26,282500,116
27,299750,119
28,309750,120
29,317500,121
30,341000,123
31,364250,125
32,371250,128
33,380000,129
34,382250,130
35,393250,133
36,405000,134
37,415500,136
38,417250,138
39,418500,139
40,425500,140
41,434750,141
42,439000,142
43,448250,143
44,452750,146
45,472000,149
46,528250,155
47,563500,157
48,567250,162
49,573000,163
50,591750,164
51,599750,168
52,620500,170
53,621500,174
54,650750,175
55,691500,178
56,711500,179
57,725000,180
58,731750,189
59,745750,190
60,746000,191
61,747500,192
62,764000,193
63,764750,194
64,776750,201
65,791500,202
66,799000,207
67,805750,214
68,832250,215
69,835000,216
70,847750,217
71,848500,221
72,854250,223
73,861250,224
74,861750,230
75,887500,239
76,887750,241
77,892500,245
78,965500,251
79,969750,253
80,980000,255
81,981000,259
82,984500,262
83,1025250,264
84,1046250,270
85,1047000,273
86,1063000,278
87,1074500,279
88,1074750,281
89,1086750,282
90,1104500,284
91,1110750,289
92,1114000,290
93,1118250,299
94,1140750,300
95,1148000,308
96,1165500,318
97,1173500,322
98,1181250,323
99,1189000,325
100,1194750,335
101,1206500,336
102,1240250,341
103,1244250,345
104,1247000,347
105,1319000,349
106,1324500,350
107,1338750,360
108,1365000,361
109,1381000,362
110,1441500,365
111,1446250,366
112,1449250,374
113,1459000,377
114,1459750,380
115,1492500,387
116,1499750,391
117,1517000,395
118,1525000,396
119,1528500,397
120,1530250,398
121,1531250,399
122,1561250,408
123,1579250,410
124,1617250,414
125,1620500,420
126,1622500,422
127,1627000,424
128,1629250,431
129,1641000,432
130,1661750,433
131,1688750,436
132,1699500,437
133,1710500,444
134,1724000,446
135,1724250,447
136,1727500,451
137,1758250,454
138,1767500,455
139,1782250,457
140,1792000,466
141,1793250,468
142,1806750,469
143,1812000,470
144,1815750,471
145,1832000,475
146,1838000,476
147,1838750,480
148,1855750,484
149,1904750,488
150,1906000,489
151,1909250,497
152,1911500,500
153,1934750,504
154,1953250,506
155,1966250,509
156,1969000,510
157,1971500,516
158,1985250,519
159,2006000,524
160,2033500,526
161,2050000,527
162,2076000,528
163,2078000,530
164,2088000,531
165,2103250,533
166,2132250,535
167,2138750,539
168,2148250,542
169,2168250,547
170,2182750,554
171,2187500,559
172,2198750,561
173,2200750,563
174,2232500,567
175,2251750,569
176,2253250,570
177,2316250,572
178,2322750,573
179,2331750,574
180,2350750,577
181,2364500,580
182,2378500,585
183,2386250,587
184,2428500,588
185,2448250,594
186,2476250,596
187,2480750,599
188,2492500,610
189,2557000,611
190,2616250,614
191,2626250,616
192,2676250,617
193,2688750,618
194,2704750,619
195,2733500,622
196,2737250,624
197,2752000,626
198,2756000,627
199,2768250,628
200,2771250,629
201,2788750,631
202,2797750,634
203,2807500,637
204,2808500,638
205,2823250,642
206,2852250,643
207,2870250,644
208,2874500,646
209,2882750,647
210,2891500,651
211,2910750,658
212,2920750,661
213,2921750,663
214,2940000,664
215,2968250,667
216,2975500,669
217,2988000,671
218,3001000,672
219,3009000,676
220,3010000,678
221,3014750,679
222,3031750,681
223,3035250,682
224,3054250,684
225,3075000,686
226,3089500,688
227,3096750,690
228,3114000,694
229,3148500,696
230,3149000,700
231,3168000,704
232,3188000,707
233,3211250,712
234,3215500,720
235,3216500,733
236,3226500,735
237,3245250,739
238,3249250,740
239,3257000,742
240,3266750,743
241,3272000,747
242,3282250,749
243,3288250,750
244,3288750,752
245,3293750,757
246,3295250,760
247,3304500,763
248,3310750,765
249,3312500,768
250,3317500,771
251,3326250,772
252,3335000,773
253,3344750,776
254,3350250,778
255,3363000,785
256,3396250,786
257,3404000,787
258,3405000,789
259,3410000,791
260,3511000,796
261,3520000,799
262,3524750,801
263,3549000,805
264,3552000,812
265,3573750,814
266,3581250,818
267,3588500,819
268,3590000,821
269,3592750,825
270,3625250,833
271,3644250,834
272,3661500,835
273,3675000,837
274,3684750,840
275,3719250,845
276,3723750,849
277,3734250,857
278,3742000,869
279,3751500,871
280,3781500,876
281,3787750,878
282,3795000,882
283,3799500,883
284,3846250,885
285,3849750,888
286,3861500,900
287,3892750,903
288,3895750,904
289,3903500,905
290,3913250,908
291,3952000,911
292,3954500,915
293,3963750,917
294,3977750,919
295,3981750,924
296,4004500,927
297,4025000,930
298,4035250,931
299,4037500,932
300,4047000,934
301,4054000,936
302,4059500,937
